Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Mild phosphoribosylpyrophosphate synthetase superactivity,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Severe phosphoribosylpyrophosphate synthetase superactivity,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Insulin autoimmune syndrome,{'Deletion': '10.0%', 'Duplication': '0.0%', 'Indel': '2.0%', 'Insertion': '2.0%', 'Single nucleotide': '85.0%'}
Hereditary late-onset Parkinson disease,{'Deletion': '0.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '92.0%'}
Infantile nephropathic cystinosis,{'Deletion': '40.0%', 'Duplication': '0.0%', 'Indel': '20.0%', 'Insertion': '20.0%', 'Single nucleotide': '20.0%'}
Pontocerebellar hypoplasia type 10,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Generalized eruptive keratoacanthoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Maternal riboflavin deficiency,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Familial isolated trichomegaly,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome,{'Deletion': '11.0%', 'Duplication': '0.0%', 'Indel': '5.0%', 'Insertion': '5.0%', 'Single nucleotide': '79.0%'}
Ocular cystinosis,{'Deletion': '12.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '78.0%'}
Juvenile nephropathic cystinosis,{'Deletion': '13.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '81.0%'}
Proton-pump inhibitor-responsive esophageal eosinophilia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Renal agenesis,{'Deletion': '8.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Pulmonary non-tuberculous mycobacterial infection,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Multicentric osteolysis-nodulosis-arthropathy spectrum,{'Deletion': '0.0%', 'Duplication': '50.0%', 'Indel': '0.0%', 'Insertion': '50.0%', 'Single nucleotide': '0.0%'}
Necrotizing enterocolitis,{'Deletion': '50.0%', 'Duplication': '25.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '25.0%'}
Short stature-optic atrophy-Pelger-Hu�t anomaly syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '93.0%'}
Frontorhiny,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '88.0%'}
Transient neonatal myasthenia gravis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Juvenile myasthenia gravis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Adult-onset myasthenia gravis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Feingold syndrome type 2,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Feingold syndrome type 1,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Homozygous familial hypercholesterolemia,{'Deletion': '12.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '77.0%'}
Off-periods in Parkinson disease not responding to oral treatment,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Fatal post-viral neurodegenerative disorder,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome,{'Deletion': '3.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '89.0%'}
SURF1-related Charcot-Marie-Tooth disease type 4,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Growth retardation-mild developmental delay-chronic hepatitis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Intellectual disability-severe speech delay-mild dysmorphism syndrome,{'Deletion': '0.0%', 'Duplication': '33.0%', 'Indel': '0.0%', 'Insertion': '33.0%', 'Single nucleotide': '33.0%'}
Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial episodic pain syndrome,{'Deletion': '5.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '86.0%'}
Familial episodic pain syndrome with predominantly upper body involvement,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial episodic pain syndrome with predominantly lower limb involvement,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hereditary sensory and autonomic neuropathy type 7,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Atypical juvenile parkinsonism,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
HSD10 disease,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
HSD10 disease, neonatal type,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
X-linked calvarial hyperostosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
East Texas bleeding disorder,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
X-linked osteoporosis with fractures,{'Deletion': '17.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '83.0%'}
Refractory celiac disease,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Squamous cell carcinoma of the penis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Adenocarcinoma of the penis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Malignant tumor of penis,{'Deletion': '13.0%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '9.0%', 'Single nucleotide': '71.0%'}
Charcot-Marie-Tooth disease type 2R,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Combined immunodeficiency due to MALT1 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
TCR-alpha-beta-positive T-cell deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Microcephaly-thin corpus callosum-intellectual disability syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '13.0%', 'Indel': '0.0%', 'Insertion': '13.0%', 'Single nucleotide': '67.0%'}
Autosomal spastic paraplegia type 58,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
MAN1B1-CDG,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Polyglucosan body myopathy type 1,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Ferro-cerebro-cutaneous syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Severe combined immunodeficiency due to IKK2 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Periodic paralysis with transient compartment-like syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Periodic paralysis with later-onset distal motor neuropathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
COASY protein-associated neurodegeneration,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal dominant Charcot-Marie-Tooth disease type 2U,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Joubert syndrome with Jeune asphyxiating thoracic dystrophy,{'Deletion': '2.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
3q27.3 microdeletion syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial hyperprolactinemia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Obesity due to CEP19 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Activated PI3K-delta syndrome,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '88.0%'}
Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Macrocephaly-developmental delay syndrome,{'Deletion': '9.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '80.0%'}
PrP systemic amyloidosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Silver-Russell syndrome due to a point mutation,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Deep dermatophytosis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Epiphysiolysis of the hip,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Secondary non-traumatic avascular necrosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Alpha-B crystallin-related late-onset myopathy,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Finnish upper limb-onset distal myopathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
KLHL9-related early-onset distal myopathy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Distal nebulin myopathy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Distal anoctaminopathy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Malignant epithelial tumor of ovary,{'Deletion': '12.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '81.0%'}
Malignant non-epithelial tumor of ovary,{'Deletion': '12.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '80.0%'}
Primary peritoneal serous/papillary carcinoma,{'Deletion': '0.0%', 'Duplication': '14.000000000000002%', 'Indel': '0.0%', 'Insertion': '14.000000000000002%', 'Single nucleotide': '71.0%'}
Clear cell adenocarcinoma of the ovary,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '1.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Neonatal lupus erythematosus,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Neonatal scleroderma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Persistent idiopathic facial pain,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Oculoauriculofrontonasal syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Focal facial dermal dysplasia,{'Deletion': '17.0%', 'Duplication': '17.0%', 'Indel': '8.0%', 'Insertion': '25.0%', 'Single nucleotide': '33.0%'}
Focal facial dermal dysplasia type II,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '80.0%'}
Focal facial dermal dysplasia type IV,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
MAGEL2-related Prader-Willi-like syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Prader-Willi-like syndrome,{'Deletion': '12.0%', 'Duplication': '25.0%', 'Indel': '0.0%', 'Insertion': '25.0%', 'Single nucleotide': '38.0%'}
SIM1-related Prader-Willi-like syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hereditary cryohydrocytosis with normal stomatin,{'Deletion': '9.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '91.0%'}
Neonatal antiphospholipid syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Neonatal autoimmune hemolytic anemia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Neonatal dermatomyositis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Keppen-Lubinsky syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
LIPE-related familial partial lipodystrophy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
CIDEC-related familial partial lipodystrophy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
3p25.3 microdeletion syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Short stature-advanced bone age-early-onset osteoarthritis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lethal neonatal spasticity-epileptic encephalopathy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '86.0%'}
Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Progeroid features-hepatocellular carcinoma predisposition syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
COG2-CDG,{'Deletion': '0.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '92.0%'}
X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Severe intellectual disability-hypotonia-strabismus-coarse face-planovalgus syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal recessive intermediate Charcot-Marie-Tooth disease type D,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Contractures-developmental delay-Pierre Robin syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency,{'Deletion': '10.0%', 'Duplication': '2.0%', 'Indel': '2.0%', 'Insertion': '5.0%', 'Single nucleotide': '81.0%'}
Thrombomodulin-related bleeding disorder,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Periodic fever-infantile enterocolitis-autoinflammatory syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Microcephalic primordial dwarfism-insulin resistance syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Retinitis pigmentosa-juvenile cataract-short stature-intellectual disability syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Familial atrial tachyarrhythmia-infra-Hisian cardiac conduction disease,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Pseudoxanthoma elasticum-like skin manifestations with retinitis pigmentosa,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
MYH7-related late-onset scapuloperoneal muscular dystrophy,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Fatty acyl-CoA reductase 1 deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
PCNA-related progressive neurodegenerative photosensitivity syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Steel syndrome,{'Deletion': '6.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '94.0%'}
RARS-related autosomal recessive hypomyelinating leukodystrophy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Ketoacidosis due to monocarboxylate transporter-1 deficiency,{'Deletion': '20.0%', 'Duplication': '20.0%', 'Indel': '0.0%', 'Insertion': '20.0%', 'Single nucleotide': '40.0%'}
Human infection by orthopoxvirus,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
GCGR-related hyperglucagonemia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '20.0%', 'Single nucleotide': '80.0%'}
Progressive encephalomyelitis with rigidity and myoclonus,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Severe autosomal recessive macrothrombocytopenia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
AApoAIV amyloidosis,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Early-onset myopathy-areflexia-respiratory distress-dysphagia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
KCNQ2-related epileptic encephalopathy,{'Deletion': '13.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '75.0%'}
Zinc-responsive necrolytic acral erythema,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Placental insufficiency,{'Deletion': '6.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '94.0%'}
PDE4D haploinsufficiency syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
ITM2B amyloidosis,{'Deletion': '0.0%', 'Duplication': '25.0%', 'Indel': '0.0%', 'Insertion': '25.0%', 'Single nucleotide': '50.0%'}
Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Plastic bronchitis,{'Deletion': '12.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '78.0%'}
Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Isolated sedoheptulokinase deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Combined hamartoma of the retina and retinal pigment epithelium,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
L-ferritin deficiency,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Ribose-5-P isomerase deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Baroreflex failure,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Charcot-Marie-Tooth disease type 2S,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
AH amyloidosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
X-linked erythropoietic protoporphyria,{'Deletion': '40.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '60.0%'}
Pyruvate carboxylase deficiency,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Classic stiff person syndrome,{'Deletion': '3.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '86.0%'}
Centronuclear myopathy,{'Deletion': '17.0%', 'Duplication': '7.000000000000001%', 'Indel': '1.0%', 'Insertion': '9.0%', 'Single nucleotide': '66.0%'}
Mitochondrial neurogastrointestinal encephalomyopathy,{'Deletion': '6.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '84.0%'}
Chronic hiccup,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Postural orthostatic tachycardia syndrome due to NET deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
MODY,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '80.0%'}
Primitive portal vein thrombosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hyperostosis cranialis interna,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
46,XY disorder of sex development due to testicular 17,20-desmolase deficiency,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Brugada syndrome,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
